last_name, first_name,pitcher,ff_avg_speed,last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Green, Chad,643338,95.7,Green, Chad,643338,NYY,FF,4-Seamer,-1.3,-11,855,65.2,199,0.184,0.362,0.269,29.9,32.2,21.8,0.218,0.416,0.29,47.6
Greinke, Zack,425844,88.9,Greinke, Zack,425844,HOU,FF,4-Seamer,-0.4,-4,1027,39.9,255,0.267,0.492,0.345,11.9,17.3,19.8,0.291,0.505,0.355,47.2
Guerra, Junior,448855,92.2,Guerra, Junior,448855,LAA,FF,4-Seamer,2.5,5,215,17.6,48,0.316,0.526,0.454,24.2,16.7,17.8,0.232,0.412,0.348,38.7
Gutierrez, Vladimir,661269,93.2,Gutierrez, Vladimir,661269,CIN,FF,4-Seamer,1.1,10,865,47.2,226,0.315,0.569,0.417,14.1,13.3,14.4,0.287,0.512,0.375,50.6
Happ, J.A.,457918,91,Happ, J.A.,457918,STL,FF,4-Seamer,0.1,1,1442,53.9,336,0.266,0.532,0.382,20.3,22.9,17.7,0.256,0.508,0.367,46.5
Harvey, Matt,518774,93.4,Harvey, Matt,518774,BAL,FF,4-Seamer,2,15,760,34.1,202,0.319,0.568,0.408,15.3,18.3,14.7,0.325,0.612,0.417,50.7
Heaney, Andrew,571760,92,Heaney, Andrew,571760,NYY,FF,4-Seamer,0,0,1338,57.4,287,0.271,0.537,0.371,27.8,27.5,18.9,0.236,0.451,0.329,45
Hearn, Taylor,621368,95.1,Hearn, Taylor,621368,TEX,FF,4-Seamer,-0.8,-6,798,46.2,187,0.241,0.422,0.336,22.9,26.2,20.2,0.268,0.447,0.348,41.9
Hendricks, Kyle,543294,87.3,Hendricks, Kyle,543294,CHC,FF,4-Seamer,0.8,4,500,17.8,93,0.312,0.649,0.444,29.9,24.7,23.2,0.28,0.58,0.411,55.4
Hentges, Sam,656529,94.6,Hentges, Sam,656529,CLE,FF,4-Seamer,2.6,14,523,41.5,142,0.403,0.637,0.481,10.9,5.6,7.7,0.347,0.668,0.458,47
Hernández, Carlos,672578,97.2,Hernández, Carlos,672578,KC,FF,4-Seamer,-1.1,-9,800,55.8,198,0.216,0.364,0.327,22.2,18.7,18.6,0.239,0.4,0.35,46
Hill, Rich,448179,88.1,Hill, Rich,448179,NYM,FF,4-Seamer,0.2,3,1176,47.1,278,0.266,0.512,0.36,22,25.5,25.8,0.254,0.482,0.341,42.1
Hoffman, Jeff,656546,94.3,Hoffman, Jeff,656546,CIN,FF,4-Seamer,0.5,4,762,56,208,0.276,0.518,0.411,24.1,19.2,18.6,0.263,0.472,0.376,44.7
Houser, Adrian,605288,94.1,Houser, Adrian,605288,MIL,FF,4-Seamer,-0.5,-1,316,13.4,61,0.208,0.415,0.307,27,32.8,16.4,0.163,0.333,0.258,28.6
Irvin, Cole,608344,90.8,Irvin, Cole,608344,OAK,FF,4-Seamer,-0.6,-7,1087,40.5,280,0.258,0.398,0.323,18.7,20,18.1,0.265,0.439,0.334,42.4
Javier, Cristian,664299,93.5,Javier, Cristian,664299,HOU,FF,4-Seamer,-0.1,-1,1065,59.4,271,0.226,0.421,0.353,26.4,24.4,21.3,0.274,0.53,0.401,51
Jax, Griffin,643377,92.6,Jax, Griffin,643377,MIN,FF,4-Seamer,0.2,1,640,45.9,174,0.268,0.569,0.386,12.8,10.9,11.6,0.274,0.616,0.406,50
Kaprielian, James,621076,93,Kaprielian, James,621076,OAK,FF,4-Seamer,0.2,2,1069,52.8,276,0.25,0.471,0.357,27.8,25.7,20.5,0.232,0.431,0.332,43.5
Keller, Brad,641745,94.2,Keller, Brad,641745,KC,FF,4-Seamer,2.6,18,698,29.7,181,0.327,0.513,0.407,22.2,18.8,17.1,0.304,0.576,0.424,37.8
Keller, Mitch,656605,93.8,Keller, Mitch,656605,PIT,FF,4-Seamer,0.3,3,1054,56.7,253,0.313,0.495,0.39,17.7,19.8,17.6,0.282,0.473,0.368,46.5
Kelly, Merrill,518876,91.7,Kelly, Merrill,518876,ARI,FF,4-Seamer,0.8,6,775,32,191,0.311,0.598,0.411,18.9,17.3,18.6,0.258,0.516,0.361,43.5
Kershaw, Clayton,477132,90.6,Kershaw, Clayton,477132,LAD,FF,4-Seamer,0.7,4,664,36.8,154,0.295,0.446,0.356,16.8,8.4,14.3,0.304,0.476,0.363,35.7
Keuchel, Dallas,572971,89,Keuchel, Dallas,572971,CWS,FF,4-Seamer,0.1,0,59,2.2,16,0.25,0.688,0.384,3.1,0,0,0.314,0.734,0.43,56.3
Kikuchi, Yusei,579328,95.1,Kikuchi, Yusei,579328,SEA,FF,4-Seamer,-0.1,-1,914,35.7,168,0.209,0.419,0.321,30.6,33.3,21.4,0.257,0.497,0.362,51.1
Kim, Kwang Hyun,547942,89.1,Kim, Kwang Hyun,547942,STL,FF,4-Seamer,-0.4,-3,731,41,176,0.295,0.442,0.371,10.1,6.8,7.6,0.299,0.476,0.369,41.5
Kinley, Tyler,641755,95.9,Kinley, Tyler,641755,COL,FF,4-Seamer,0.9,4,492,43,135,0.259,0.534,0.382,14.3,11.1,16.9,0.289,0.485,0.377,45.1
Kluber, Corey,446372,89.9,Kluber, Corey,446372,NYY,FF,4-Seamer,-0.4,0,61,4.6,13,0.2,0.2,0.267,12,23.1,10,0.215,0.387,0.326,62.5
Kuhl, Chad,641771,94.2,Kuhl, Chad,641771,PIT,FF,4-Seamer,1.8,7,365,25.4,73,0.317,0.533,0.448,14.6,12.3,12.7,0.268,0.472,0.381,41.2
Lauer, Eric,641778,92.6,Lauer, Eric,641778,MIL,FF,4-Seamer,0.4,3,858,43.9,198,0.25,0.407,0.339,26.5,29.3,18.3,0.217,0.387,0.305,36.4
Lester, Jon,452657,88.7,Lester, Jon,452657,STL,FF,4-Seamer,1.3,10,740,31.1,176,0.338,0.556,0.421,16.3,14.2,13.8,0.311,0.523,0.392,42.4
López, Jorge,605347,95.3,López, Jorge,605347,BAL,FF,4-Seamer,0.6,3,456,21.1,113,0.287,0.596,0.417,22.4,23,20,0.254,0.485,0.368,47.1
López, Pablo,641154,94.1,López, Pablo,641154,MIA,FF,4-Seamer,-1.6,-9,530,31.8,120,0.219,0.447,0.3,22.6,33.3,19.1,0.219,0.422,0.287,38.7
Luzardo, Jesús,666200,95.9,Luzardo, Jesús,666200,MIA,FF,4-Seamer,2.8,12,432,25,106,0.348,0.674,0.467,19.9,17,14.1,0.313,0.606,0.423,48.7
Lyles, Jordan,543475,93,Lyles, Jordan,543475,TEX,FF,4-Seamer,1,12,1170,39.5,283,0.298,0.603,0.416,20.1,17,15.6,0.273,0.548,0.389,45.2
Lynch, Daniel,663738,93.8,Lynch, Daniel,663738,KC,FF,4-Seamer,1.1,6,509,40.5,135,0.385,0.581,0.434,12.2,8.9,9.1,0.367,0.617,0.455,46.8
Lynn, Lance,458681,94,Lynn, Lance,458681,CWS,FF,4-Seamer,-1.5,-16,1051,40.3,238,0.187,0.297,0.255,32.5,35.7,23.5,0.173,0.297,0.24,45.9
Maeda, Kenta,628317,90.6,Maeda, Kenta,628317,MIN,FF,4-Seamer,0.2,1,460,25.9,103,0.297,0.549,0.396,23.2,27.2,23.3,0.27,0.539,0.377,48.4
Mahle, Tyler,641816,94,Mahle, Tyler,641816,CIN,FF,4-Seamer,-0.6,-11,1693,53,387,0.236,0.435,0.337,27,34.6,21.5,0.215,0.365,0.308,41.2
Manning, Matt,666159,93.5,Manning, Matt,666159,DET,FF,4-Seamer,0.4,2,587,41.3,148,0.264,0.403,0.331,16.8,17.6,15.7,0.255,0.413,0.334,39
Manoah, Alek,666201,93.7,Manoah, Alek,666201,TOR,FF,4-Seamer,-0.8,-6,669,36.3,150,0.2,0.331,0.29,32.5,32,21.6,0.174,0.326,0.275,34.1
Márquez, Germán,608566,94.8,Márquez, Germán,608566,COL,FF,4-Seamer,0.1,1,1269,45.5,331,0.275,0.44,0.369,14,7.6,12,0.322,0.514,0.404,46.4
Martínez, Carlos,593372,93.4,Martínez, Carlos,593372,STL,FF,4-Seamer,0.5,2,352,27.5,96,0.269,0.474,0.391,11.1,9.4,9.3,0.304,0.549,0.426,48.6
Maton, Phil,664208,91.5,Maton, Phil,664208,HOU,FF,4-Seamer,0.1,0,577,49.1,130,0.206,0.412,0.338,37.8,33.1,24,0.197,0.355,0.323,30.6
Mayers, Mike,594577,94.5,Mayers, Mike,594577,LAA,FF,4-Seamer,0.6,3,468,37.9,129,0.227,0.471,0.324,30.1,36.4,27.8,0.188,0.395,0.28,41.7
McClanahan, Shane,663556,96.4,McClanahan, Shane,663556,TB,FF,4-Seamer,-0.4,-3,799,40.9,204,0.308,0.5,0.39,19.3,15.7,19.5,0.322,0.573,0.411,55
McKenzie, Triston,663474,92.1,McKenzie, Triston,663474,CLE,FF,4-Seamer,0.5,6,1216,61.6,322,0.227,0.465,0.359,19.2,19.9,18.9,0.259,0.472,0.365,44.3
Means, John,607644,92.8,Means, John,607644,BAL,FF,4-Seamer,0.1,2,1116,47.9,238,0.233,0.507,0.346,21.1,20.6,14.6,0.265,0.564,0.372,51.2
Megill, Tylor,656731,94.6,Megill, Tylor,656731,NYM,FF,4-Seamer,-0.2,-2,895,57.6,198,0.261,0.494,0.357,21.5,26.8,19.3,0.231,0.44,0.329,47.2
Miley, Wade,489119,89.9,Miley, Wade,489119,CIN,FF,4-Seamer,-1,-4,422,16.3,150,0.246,0.333,0.289,17.6,26,17.1,0.235,0.391,0.301,39.4
Mills, Alec,621219,88.7,Mills, Alec,621219,CHC,FF,4-Seamer,1.6,5,333,17.2,89,0.321,0.654,0.44,10.9,9,10,0.313,0.592,0.414,44.4
Minor, Mike,501985,90.9,Minor, Mike,501985,KC,FF,4-Seamer,-0.3,-4,1123,42.8,278,0.246,0.472,0.342,18.9,22.3,20.5,0.224,0.447,0.316,36.3
Mize, Casey,663554,93.9,Mize, Casey,663554,DET,FF,4-Seamer,-0.4,-3,690,29.3,155,0.226,0.474,0.339,25,29.7,17.9,0.228,0.485,0.341,48.9
Montas, Frankie,593423,96.4,Montas, Frankie,593423,OAK,FF,4-Seamer,-0.4,-3,879,29,230,0.214,0.405,0.309,24.6,27.8,20,0.245,0.469,0.332,50.3
Montgomery, Jordan,656756,92.6,Montgomery, Jordan,656756,NYY,FF,4-Seamer,-0.3,-1,417,16.2,84,0.247,0.455,0.331,19,25,13.1,0.253,0.461,0.335,50
Moore, Matt,519043,92.4,Moore, Matt,519043,PHI,FF,4-Seamer,0.5,4,710,56.6,195,0.305,0.537,0.403,17.9,15.9,17,0.275,0.473,0.363,41.8
Morgan, Eli,669212,90.5,Morgan, Eli,669212,CLE,FF,4-Seamer,0.1,1,688,48.7,170,0.283,0.52,0.375,18.6,18.8,17.7,0.251,0.455,0.333,44.7
Morton, Charlie,450203,95.5,Morton, Charlie,450203,ATL,FF,4-Seamer,-0.3,-3,1075,36,248,0.23,0.355,0.3,23.2,27,19.3,0.233,0.392,0.31,40.4
Musgrove, Joe,605397,93.3,Musgrove, Joe,605397,SD,FF,4-Seamer,0.3,2,597,20.3,137,0.319,0.571,0.419,20.8,21.2,19.2,0.268,0.495,0.369,46.2
Neris, Héctor,593576,94.1,Neris, Héctor,593576,PHI,FF,4-Seamer,1.2,6,458,36.8,107,0.239,0.511,0.376,32.3,35.5,24.7,0.194,0.422,0.318,53.7
Nola, Aaron,605400,92.9,Nola, Aaron,605400,PHI,FF,4-Seamer,-0.4,-4,1115,37.5,225,0.265,0.471,0.352,22.4,23.6,19.8,0.257,0.522,0.36,45.4
Ober, Bailey,641927,92.3,Ober, Bailey,641927,MIN,FF,4-Seamer,-1,-9,856,58,208,0.251,0.466,0.326,24.8,28.4,18.6,0.235,0.444,0.322,48.9
Odorizzi, Jake,543606,92.2,Odorizzi, Jake,543606,HOU,FF,4-Seamer,-0.6,-6,1020,55.2,221,0.236,0.4,0.317,23.2,24,16.3,0.227,0.414,0.316,40.7
Ohtani, Shohei,660271,95.6,Ohtani, Shohei,660271,LAA,FF,4-Seamer,-0.1,-1,894,44.1,194,0.289,0.509,0.398,20.8,18,22.4,0.28,0.459,0.382,50.8
Paddack, Chris,663978,94.8,Paddack, Chris,663978,SD,FF,4-Seamer,0.7,8,1149,61.5,246,0.314,0.531,0.383,21.1,18.7,13.9,0.303,0.514,0.364,46.5
Patiño, Luis,672715,95.7,Patiño, Luis,672715,TB,FF,4-Seamer,-0.6,-5,826,60.5,204,0.228,0.37,0.309,23.1,18.1,15.3,0.259,0.47,0.338,44.7
